Date,Signal,Strike,T1,T2,T3,T4,T5,T6,T1Hit,T2Hit,T3Hit,T4Hit,T5Hit,T6Hit,FinalTargetPrice,Points,TimeTaken,Status,TrackingID,Index,Timeframe,Volume,Profit (INR),% Move Captured,ROI % on Capital,Entry Timestamp (UTC),Exit Timestamp (UTC),Trade Duration,Target Hit Count,TradingView Time (UTC),Webhook Time (UTC),T1 Timestamp,T2 Timestamp,T3 Timestamp,T4 Timestamp,T5 Timestamp,T6 Timestamp,,,,,,,,,
17-06-2025 12:55 PM,Sell,55780.75,55680.75,55580.75,,,,,TRUE,TRUE,,,,,55580.75,200,,In Progress,"Sell-55,781-17-11-45",BANKNIFTY,5,71.71,14342,36%,71.71%,17-Jun-2025 12:55 PM,18-Jun-2025,20:25:,2,,,,,,,,,,,,,,,,,
17-06-2025 01:10 PM,Sell,81544.13,81444.13,81344.13,,,,,TRUE,TRUE,,,,,81344.13,200,,In Progress,"Sell-81,544-17-9-45",SENSEX,5,49.05,9811,25%,49.05%,17-Jun-2025 01:10 PM,18-Jun-2025,20:24:,2,,,,,,,,,,,,,,,,,
17-06-2025 02:55 PM,Sell,106780,106680,106580,106480,106380,106280,106180,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,106180,600,,In Progress,"Sell-106,780-17-6-45",BTCUSDT,5,37.46,22476,56%,112.38%,17-Jun-2025 02:55 PM,17-Jun-2025,0:15:,6,,,,,,,,,,,,,,,,,
18-06-2025 12:45 AM,Buy,104753.35,104853.35,104953.35,105053.35,105153.35,105253.35,,TRUE,TRUE,TRUE,TRUE,TRUE,,105153.35,400,,In Progress,"Buy-104,753-17-19-0",BTCUSDT,5,38.18,15274,38%,76.37%,18-Jun-2025 12:45 AM,18-Jun-2025,0:09:,4,,,,,,,,,,,,,,,,,
18-06-2025 06:55 AM,Buy,105035.98,105135.98,105235.98,105335.98,105435.98,105535.98,,TRUE,TRUE,TRUE,TRUE,TRUE,,105535.98,500,,In Progress,"Buy-105,036-18-1-5",BTCUSDT,5,38.08,19041,48%,95.21%,18-Jun-2025 06:55 AM,18-Jun-2025,4:04:,5,,,,,,,,,,,,,,,,,
18-06-2025 12:20 PM,Sell,105097.94,104997.94,104897.94,104797.94,104697.94,104597.94,104497.94,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,104497.94,600,,In Progress,"Sell-105,098-18-6-40",BTCUSDT,5,38.06,22836,57%,114.18%,18-Jun-2025 12:20 PM,18-Jun-2025,3:35:,6,,,,,,,,,,,,,,,,,
18-06-2025 03:45 PM,Sell,104679.99,104579.99,104479.99,104379.99,104279.99,104179.99,104079.99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,104079.99,600,,In Progress,"Sell-104,680-18-10-0",BTCUSDT,15,38.21,22927,57%,114.64%,18-Jun-2025 03:45 PM,18-Jun-2025,3:00:,6,,,,,,,,,,,,,,,,,
18-06-2025 07:40 PM,Buy,104782.65,104882.65,104982.65,105082.65,105182.65,105282.65,,TRUE,TRUE,TRUE,TRUE,TRUE,,105282.65,500,,In Progress,"Buy-104,783-18-14-0",BTCUSDT,5,38.17,19087,48%,95.44%,18-Jun-2025 07:40 PM,18-Jun-2025,0:20:,5,,,,,,,,,,,,,,,,,
18-06-2025 08:15 PM,Buy,105166.34,,,,,,,,,,,,,,,,In Progress,"Buy-105,166-18-14-15",BTCUSDT,15,,,,,18-Jun-2025 08:15 PM,,,,,,,,,,,,,,,,,,,,
18-06-2025 10:44 PM,Buy,55600,55700,,,,,,TRUE,,,,,,55700,100,,In Progress,Buy-55600-18-12-00,BANKNIFTY,15,71.94,7194,18%,35.97%,18-Jun-2025 10:44 PM,18-Jun-2025,0:01:,1,,,,,,,,,,,,,,,,,
18-06-2025 11:10 PM,Sell,103747.63,103647.63,103547.63,,,,,TRUE,TRUE,,,,,103547.63,200,,In Progress,"Sell-103,748-18-17-30",BTCUSDT,5,38.56,7711,19%,38.56%,18-Jun-2025 11:10 PM,19-Jun-2025,1:24:,2,,,,,,,,,,,,,,,,,
18-06-2025 11:32 PM,Buy,55600,55700,,,,,,TRUE,,,,,,55700,100,,In Progress,Buy-55600-18-22-00,BANKNIFTY,15,71.94,7194,18%,35.97%,18-Jun-2025 11:32 PM,18-Jun-2025,0:00:,1,,,,,,,,,,,,,,,,,
18-06-2025 11:34 PM,Buy,104800,104900,,,,,,TRUE,,,,,,104900,100,,In Progress,Buy-104800-18-22-05,BTCUSDT,5,38.17,3817,10%,19.08%,18-Jun-2025 11:34 PM,18-Jun-2025,0:00:,1,,,,,,,,,,,,,,,,,
19-06-2025 12:01 AM,Buy,55600,55700,,,,,,TRUE,,,,,,55700,100,,In Progress,Buy-55600-18-22-01,BANKNIFTY,15,71.94,7194,18%,35.97%,19-Jun-2025 12:02 AM,19-Jun-2025,0:00:,1,,,,,,,,,,,,,,,,,
19-06-2025 12:03 AM,Buy,104800,104900,105000,105100,,,,TRUE,TRUE,TRUE,,,,105100,300,,In Progress,Buy-104800-18-22-06,BTCUSDT,5,38.17,11450,29%,57.25%,19-Jun-2025 12:03 AM,19-Jun-2025,0:00:,3,,,,,,,,,,,,,,,,,
19-06-2025 12:04 AM,Buy,55600,55700,,,,,,TRUE,,,,,,55700,100,,In Progress,Buy-55600-18-22-10,BANKNIFTY,15,71.94,7194,18%,35.97%,19-Jun-2025 12:04 AM,19-Jun-2025,0:00:,1,,,,,,,,,,,,,,,,,
19-06-2025 02:20 AM,Buy,104862.87,104962.87,105062.87,105162.87,,,,TRUE,TRUE,TRUE,,,,105162.87,300,,In Progress,"Buy-104,863-18-20-45",BTCUSDT,5,19.07,5722,29%,28.61%,19-Jun-2025 02:20 AM,19-Jun-2025,3:45:,3,yyyy-MM-ddTHH:mm:ss1750279801172,6/19/2025 2:20:06,,,,,,,,,,,,,,,
19-06-2025 09:50 AM,Buy,55837.85,,,,,,,,,,,,,,,,In Progress,"Buy-55,838-18-9-30",BANKNIFTY,5,,,,,19-Jun-2025 09:50 AM,,,,yyyy-MM-ddTHH:mm:ss1750306802354,6/19/2025 9:50:06,,,,,,,,,,,,,,,
19-06-2025 12:00 PM,Sell,104644.74,,,,,,,,,,,,,,,,In Progress,"Sell-104,645-19-6-25",BTCUSDT,5,,,,,19-Jun-2025 12:00 PM,,,,yyyy-MM-ddTHH:mm:ss1750314601894,6/19/2025 12:00:12,,,,,,,,,,,,,,,
19-06-2025 12:35 PM,Sell,55616.1,55516.1,,,,,,TRUE,,,,,,55516.1,100,,In Progress,"Sell-55,616-19-12-30",BANKNIFTY,5,15.00,1500,18%,1.00%,19-Jun-2025 12:35 PM,19-Jun-2025,2:55:,1,yyyy-MM-ddTHH:mm:ss1750316701299,6/19/2025 12:35:21,,,,,,,,,,,,,,,
19-06-2025 02:15 PM,Buy,104922.21,105022.21,,,,,,TRUE,,,,,,105022.21,100,,In Progress,"Buy-104,922-19-8-40",BTCUSDT,5,19.06,1906,10%,9.53%,19-Jun-2025 02:15 PM,19-Jun-2025,1:04:,1,yyyy-MM-ddTHH:mm:ss1750322701694,6/19/2025 14:15:08,,,,,,,,,,,,,,,
19-06-2025 03:15 PM,Sell,55565.6,,,,,,,,,,,,,,,,In Progress,"Sell-55,566-19-15-0",BANKNIFTY,15,,,,,19-Jun-2025 03:15 PM,,,,yyyy-MM-ddTHH:mm:ss1750326302633,6/19/2025 15:15:10,,,,,,,,,,,,,,,
19-06-2025 06:20 PM,Sell,104695.7,104595.7,104495.7,104395.7,104295.7,104195.7,104095.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,104095.7,600,,In Progress,"Sell-104,696-19-12-45",BTCUSDT,5,19.10,11462,57%,57.31%,19-Jun-2025 06:20 PM,19-Jun-2025,3:04:,6,yyyy-MM-ddTHH:mm:ss1750337401244,6/19/2025 18:20:07,,,,,,,,,,,,,,,
19-06-2025 07:30 PM,Sell,104283.33,104183.33,104083.33,103983.33,,,,TRUE,TRUE,TRUE,,,,103983.33,300,,In Progress,"Sell-104,283-19-13-45",BTCUSDT,15,19.18,5754,29%,28.77%,19-Jun-2025 07:30 PM,19-Jun-2025,2:59:,3,yyyy-MM-ddTHH:mm:ss1750341601261,6/19/2025 19:30:13,,,,,,,,,,,,,,,
19-06-2025 11:10 PM,Buy,104663,104763,104863,,,,,TRUE,TRUE,,,,,104863,200,,In Progress,"Buy-104,663-19-17-35",BTCUSDT,5,19.11,3822,19%,19.11%,19-Jun-2025 11:10 PM,20-Jun-2025,5:44:,2,yyyy-MM-ddTHH:mm:ss1750354801174,6/19/2025 23:10:06,,,,,,,,,,,,,,,
20-06-2025 09:20 AM,Buy,55770.75,55870.75,55970.75,56070.75,56170.75,56270.75,,TRUE,TRUE,TRUE,TRUE,TRUE,,56270.75,500,,In Progress,"Buy-55,771-20-9-15",BANKNIFTY,5,15.00,7500,90%,5.00%,20-Jun-2025 09:20 AM,20-Jun-2025,5:55:,5,yyyy-MM-ddTHH:mm:ss1750391401303,6/20/2025 9:20:06,,,,,,,,,,,,,,,
20-06-2025 09:35 AM,Buy,81619.91,81719.91,81819.91,81919.91,82019.91,82119.91,82219.91,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,82219.91,600,,In Progress,"Buy-81,620-20-9-15",SENSEX,5,15.00,9000,74%,6.00%,20-Jun-2025 09:35 AM,20-Jun-2025,3:59:,6,yyyy-MM-ddTHH:mm:ss1750392300995,6/20/2025 9:35:04,,,,,,,,,,,,,,,
20-06-2025 10:15 AM,Sell,104345.74,104245.74,,,,,,TRUE,,,,,,104245.74,100,,In Progress,"Sell-104,346-20-4-40",BTCUSDT,5,19.17,1917,10%,9.58%,20-Jun-2025 10:15 AM,20-Jun-2025,0:09:,1,yyyy-MM-ddTHH:mm:ss1750394701224,6/20/2025 10:15:06,,,,,,,,,,,,,,,
20-06-2025 10:30 AM,Buy,81775.57,81875.57,81975.57,82075.57,82175.57,82275.57,82375.57,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,82375.57,600,,In Progress,"Buy-81,776-20-10-0",SENSEX,15,15.00,9000,73%,6.00%,20-Jun-2025 10:30 AM,20-Jun-2025,5:00:,6,yyyy-MM-ddTHH:mm:ss1750395600201,6/20/2025 10:30:02,,,,,,,,,,,,,,,
20-06-2025 10:30 AM,Buy,56000,56100,56200,56300,,,,TRUE,TRUE,TRUE,,,,56300,300,,In Progress,"Buy-56,000-20-10-15",BANKNIFTY,15,15.00,4500,54%,3.00%,20-Jun-2025 10:30 AM,20-Jun-2025,5:00:,3,yyyy-MM-ddTHH:mm:ss1750395601746,6/20/2025 10:30:13,,,,,,,,,,,,,,,
20-06-2025 11:25 AM,Buy,104574.69,104674.69,104774.69,104874.69,104974.69,105074.69,105174.69,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,105174.69,600,,In Progress,"Buy-104,575-20-5-50",BTCUSDT,5,19.13,11475,57%,57.38%,20-Jun-2025 11:25 AM,20-Jun-2025,1:45:,6,yyyy-MM-ddTHH:mm:ss1750398901534,6/20/2025 11:25:05,,,,,,,,,,,,,,,
20-06-2025 01:00 PM,Buy,105178.85,105278.85,105378.85,105478.85,105578.85,105678.85,105778.85,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,105778.85,600,,In Progress,"Buy-105,179-20-7-15",BTCUSDT,15,19.02,11409,57%,57.05%,20-Jun-2025 01:00 PM,20-Jun-2025,1:29:,6,yyyy-MM-ddTHH:mm:ss1750404601139,6/20/2025 13:00:16,,,,,,,,,,,,,,,
20-06-2025 07:20 PM,Sell,105576.61,105476.61,105376.61,105276.61,105176.61,105076.61,104976.61,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,104976.61,600,,In Progress,"Sell-105,577-20-13-45",BTCUSDT,5,18.94,11366,57%,56.83%,20-Jun-2025 07:20 PM,20-Jun-2025,0:55:,6,yyyy-MM-ddTHH:mm:ss1750427401219,6/20/2025 19:20:11,,,,,,,,,,,,,,,
20-06-2025 08:15 PM,Sell,104881.28,104781.28,104681.28,104581.28,104481.28,104381.28,104281.28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,104381.28,500,,In Progress,"Sell-104,881-20-14-30",BTCUSDT,15,19.07,9535,48%,47.67%,20-Jun-2025 08:15 PM,20-Jun-2025,0:15:,5,yyyy-MM-ddTHH:mm:ss1750430701628,6/20/2025 20:15:12,,,,,,,,,,,,,,,
21-06-2025 12:07 AM,Buy,49700,49800,49900,,,,,TRUE,TRUE,,,,,49900,200,,In Progress,BANKNIFTY_49700_20Jun09AM,BANKNIFTY,15 min,15.00,3000,40%,2.00%,21-Jun-2025 12:07 AM,21-Jun-2025,0:00:,2,2025-06-20 9:15:00,6/21/2025 0:07:34,,,,,,,,,,,,,,,
21-06-2025 01:01 AM,Buy,55600,55700,,,,,,TRUE,,,,,,55700,100,,In Progress,BNF-55600-20062024,BANKNIFTY,15,15.00,1500,18%,1.00%,21-Jun-2025 01:01 AM,21-Jun-2025,0:00:,1,2025-06-20T12:45:00Z,6/21/2025 1:01:52,,,,,,,,,,,,,,,
21-06-2025 08:35 AM,Buy,103577.46,103677.46,,,,,,TRUE,,,,,,103677.46,100,,In Progress,"Buy-103,577-21-3-0",BTCUSDT,5,19.31,1931,10%,9.65%,21-Jun-2025 08:35 AM,21-Jun-2025,0:29:,1,yyyy-MM-ddTHH:mm:ss1750475101382,6/21/2025 8:35:05,,,,,,,,,,,,,,,
21-06-2025 10:00 AM,Sell,103407.27,,,,,,,,,,,,,,,,In Progress,"Sell-103,407-21-4-25",BTCUSDT,5,,,,,21-Jun-2025 10:00 AM,,,,yyyy-MM-ddTHH:mm:ss1750480201321,6/21/2025 10:00:06,,,,,,,,,,,,,,,
21-06-2025 12:20 PM,Buy,103553.64,103653.64,103753.64,103853.64,103953.64,,,TRUE,TRUE,TRUE,TRUE,,,103953.64,400,,In Progress,"Buy-103,554-21-6-45",BTCUSDT,5,19.31,7725,39%,38.63%,21-Jun-2025 12:20 PM,21-Jun-2025,3:15:,4,yyyy-MM-ddTHH:mm:ss1750488601945,6/21/2025 12:20:04,,,,,,,,,,,,,,,
21-06-2025 07:20 PM,Sell,103631.79,103531.79,103431.79,103331.79,103231.79,103131.79,103031.79,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,103031.79,600,,In Progress,"Sell-103,632-21-13-45",BTCUSDT,5,19.30,11579,58%,57.90%,21-Jun-2025 07:20 PM,22-Jun-2025,4:58:,6,yyyy-MM-ddTHH:mm:ss1750513801210,6/21/2025 19:20:05,,,,,,,,,,,,,,,
21-06-2025 08:00 PM,Sell,103399.16,103299.16,103199.16,103099.16,102999.16,102899.16,102799.16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,102799.16,600,,In Progress,"Sell-103,399-21-14-15",BTCUSDT,15,19.34,11606,58%,58.03%,21-Jun-2025 08:00 PM,22-Jun-2025,5:00:,6,yyyy-MM-ddTHH:mm:ss1750516201255,6/21/2025 20:00:07,,,,,,,,,,,,,,,
22-06-2025 05:30 AM,Buy,102120.01,102220.01,102320.01,102420.01,102520.01,102620.01,102720.01,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,102720.01,600,,In Progress,"Buy-102,120-21-23-55",BTCUSDT,5,19.58,11751,59%,58.75%,22-Jun-2025 05:30 AM,22-Jun-2025,0:34:,6,yyyy-MM-ddTHH:mm:ss1750550401193,6/22/2025 5:30:11,,,,,,,,,,,,,,,
22-06-2025 03:25 PM,Sell,102178.16,102078.16,101978.16,101878.16,101778.16,101678.16,101578.16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,101578.16,600,,In Progress,"Sell-102,178-22-9-50",BTCUSDT,5,19.57,11744,59%,58.72%,22-Jun-2025 03:25 PM,22-Jun-2025,3:45:,6,yyyy-MM-ddTHH:mm:ss1750586101195,6/22/2025 15:25:04,22-06-2025 06:46 PM,22-06-2025 06:50 PM,22-06-2025 06:55 PM,22-06-2025 07:00 PM,22-06-2025 07:05 PM,22-06-2025 07:10 PM,,,,,,,,,
23-06-2025 02:25 AM,Buy,99657.43,99757.43,99857.43,99957.43,100057.43,100157.43,100257.43,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100257.43,600,,In Progress,"Buy-99,657-22-20-50",BTCUSDT,5,20.07,12041,60%,60.21%,23-Jun-2025 02:25 AM,23-Jun-2025,1:25:,6,yyyy-MM-ddTHH:mm:ss1750625701191,6/23/2025 2:25:05,23-06-2025 02:27 AM,23-06-2025 03:34 AM,23-06-2025 03:35 AM,23-06-2025 03:40 AM,23-06-2025 03:45 AM,23-06-2025 03:50 AM,,,,,,,,,
23-06-2025 04:15 AM,Buy,100911.98,101011.98,101111.98,101211.98,101311.98,101411.98,101511.98,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,101511.98,600,,In Progress,"Buy-100,912-22-22-30",BTCUSDT,15,19.82,11892,59%,59.46%,23-Jun-2025 04:15 AM,23-Jun-2025,6:38:,6,yyyy-MM-ddTHH:mm:ss1750632301344,6/23/2025 4:15:12,23-06-2025 04:32 AM,23-06-2025 06:12 AM,23-06-2025 06:15 AM,23-06-2025 08:01 AM,23-06-2025 10:41 AM,23-06-2025 10:53 AM,,,,,,,,,
23-06-2025 09:20 AM,Sell,55915.4,55815.4,,,,,,TRUE,,,,,,55815.4,100,,In Progress,"Sell-55,915-23-9-15",BANKNIFTY,5,15.00,1500,18%,1.00%,23-Jun-2025 09:20 AM,23-Jun-2025,0:27:,1,yyyy-MM-ddTHH:mm:ss1750650601977,6/23/2025 9:20:07,23-06-2025 09:47 AM,,,,,,,,,,,,,,
23-06-2025 01:25 PM,Buy,56104.85,56204.85,,,,,,TRUE,,,,,,56204.85,100,,In Progress,"Buy-56,105-23-13-20",BANKNIFTY,5,15.00,1500,0.18,1.00%,23-Jun-2025 01:25 PM,23-Jun-2025,0:05:,1,yyyy-MM-ddTHH:mm:ss1750665302339,6/23/2025 13:25:08,23-06-2025 01:30 PM,,,,,,,,,,,,,,
23-06-2025 01:25 PM,Buy,66800,66900,,,,,,TRUE,,,,,,66900,100,,In Progress,Buy-66800-23-1115,BTCUSDT,15,29.94,2994,0.15,14.97%,23-Jun-2025 01:25 PM,23-Jun-2025,0:00:,1,2025-06-23 11:15:00,6/23/2025 13:25:52,23-06-2025 01:26 PM,,,,,,,,,,,,,,
23-06-2025 03:40 PM,Sell,101431.2,101331.2,101231.2,101131.2,,,,TRUE,TRUE,TRUE,,,,101131.2,300,,In Progress,"Sell-101,431-23-10-5",BTCUSDT,5,19.72,5915,0.3,29.58%,23-Jun-2025 03:40 PM,23-Jun-2025,1:36:,3,yyyy-MM-ddTHH:mm:ss1750673401180,6/23/2025 15:40:05,23-06-2025 04:11 PM,23-06-2025 04:15 PM,23-06-2025 05:16 PM,,,,,,,,,,,,
23-06-2025 06:30 PM,Buy,101684.7,,,,,,,,,,,,,,,,In Progress,"Buy-101,685-23-12-55",BTCUSDT,5,,,,,23-Jun-2025 06:30 PM,,,,yyyy-MM-ddTHH:mm:ss1750683601294,6/23/2025 18:30:22,,,,,,,,,,,,,,,
23-06-2025 07:05 PM,Sell,101093.72,,,,,,,,,,,,,,,,In Progress,"Sell-101,094-23-13-30",BTCUSDT,5,,,,,23-Jun-2025 07:05 PM,,,,yyyy-MM-ddTHH:mm:ss1750685701162,6/23/2025 19:05:14,,,,,,,,,,,,,,,
23-06-2025 07:15 PM,Buy,101999.99,102099.99,102199.99,102299.99,102399.99,102499.99,,TRUE,TRUE,TRUE,TRUE,TRUE,,102499.99,500,,In Progress,"Buy-102,000-23-13-40",BTCUSDT,5,19.61,9804,0.49,49.02%,23-Jun-2025 07:15 PM,23-Jun-2025,0:20:,5,yyyy-MM-ddTHH:mm:ss1750686302062,6/23/2025 19:15:20,23-06-2025 07:15 PM,23-06-2025 07:18 PM,23-06-2025 07:27 PM,23-06-2025 07:30 PM,23-06-2025 07:36 PM,,,,,,,,,,
23-06-2025 10:00 PM,Sell,100272.18,100172.18,,,,,,TRUE,,,,,,100172.18,100,,In Progress,"Sell-100,272-23-16-15",BTCUSDT,15,19.95,1995,0.1,9.97%,23-Jun-2025 10:00 PM,23-Jun-2025,0:00:,1,yyyy-MM-ddTHH:mm:ss1750696201224,6/23/2025 22:00:27,23-06-2025 10:00 PM,,,,,,,,,,,,,,
